指标,2022年,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年,1994年,1993年,1992年,1991年,1990年
芝麻产量(万吨),43.53,45.54,45.69,46.7,43.15,36.65,35.2,45.03,43.66,43.9,46.58,45.76,46.2,53.53,51.55,52,66.17,62.54,70.38,59.28,89.52,80.41,81.12,74.31,65.61,56.58,57.54,58.27,54.75,56.29,51.63,43.5,46.93
葵花籽产量(万吨),,,,,249.42,314.94,320.1,287.2,258.21,244.83,226.72,240.2,235.53,198.56,199.32,146.02,144,192.79,155.15,174.35,194.6,147.78,195.41,176.47,146.51,117.61,132.31,126.95,136.74,128.23,147.3,142.2,133.87
胡麻籽产量(万吨),,,,,33.52,30.1,32.5,31.19,32.26,33,33.11,30.8,31.44,29.48,34.56,26.89,37.36,36.21,42.6,45.05,40.89,25.26,34.37,40.35,52.34,39.32,55.34,36.38,51.14,49.6,51.97,51.46,53.51
糖料产量(万吨),11236.45,11454.45,12014.04,12169.06,11937.41,11378.84,11176.03,11215.22,12088.73,12555.01,12451.81,11663.11,11303.36,11746.9,13005.96,12082.35,10459.97,9451.91,9570.65,9641.65,10292.68,8655.13,7635.33,8334.12,9790.41,9386.47,8360.24,7940.14,7345.24,7624.2,8807.98,8418.74,7214.47
麻类产量(万吨),22.84,21.14,24.94,23.39,20.31,21.79,18.13,15.56,16.51,17.56,19.62,22.34,24.23,31.91,56.09,66.12,89.09,110.49,107.36,85.3,96.37,68.14,52.95,47.17,49.5,74.87,79.5,89.7,74.73,96,93.83,88.45,109.73
黄红麻产量(万吨),1.46,1.57,1.93,2.92,2.86,2.91,3.39,4.78,5.06,5.73,6.35,7.02,6.48,7.13,8.02,9.64,8.68,8.28,8.69,9.98,15.9,10.6,12.59,16.45,24.8,42.95,36.49,37.12,35.49,67.16,61.89,51.3,72.61
亚麻产量(万吨),,,,,1.3,1.08,1.23,1.1,1.02,2.09,3.39,3.1,3.78,8.37,25.47,26.15,42.51,69.46,66.92,46.47,52.43,34.52,21.44,16.96,10.02,15.38,26.54,35.24,25.03,18.77,22.62,28.89,24.16
大麻产量(万吨),,,,,10.62,12.47,7.16,2.6,3.14,1.8,1.4,1.34,1,1.15,2.97,4.69,8.29,4.13,3.59,2.63,3.01,2.02,1.7,1.32,1.69,1.92,2.06,2.24,2.2,2.73,2.44,1.8,3.15
苎麻产量(万吨),,,,,5.39,5.08,5.22,5.83,6.3,6.77,7.67,9.71,12.21,14.65,18.84,24.01,28.74,27.71,25.48,24.49,23.85,19.7,16.1,11.95,12.23,13.66,14.06,14.71,11.64,6.76,6.12,5.82,8.91
甘蔗产量(万吨),10338.13,10666.38,10812.1,10938.81,10809.71,10440.43,10321.54,10706.43,11578.82,11926.35,11574.61,10867.35,10598.23,11200.37,12152.06,11179.44,9709.22,8663.8,8984.94,9023.48,9010.69,7566.27,6827.98,7470.27,8343.81,7889.68,6818.7,6541.74,6092.68,6419.38,7301.07,6789.8,5762.01
甜菜产量(万吨),893.32,785.09,1198.4,1227.29,1127.66,938.41,854.49,508.79,509.91,628.66,877.2,795.76,705.12,546.53,853.9,902.91,750.75,788.11,585.71,618.17,1281.99,1088.86,807.35,863.86,1446.61,1496.79,1541.55,1398.4,1252.56,1204.82,1506.91,1628.94,1452.45
烟叶产量(万吨),218.81,212.76,213.4,215.34,224.1,239.14,257.39,267.73,284.67,321.95,324.6,299.78,283.2,296.2,275.94,242.22,245.56,268.3,240.6,225.74,244.65,234.96,255.23,246.93,236.4,425.12,323.4,231.42,223.8,345.15,349.86,303.12,262.71
烤烟产量(万吨),207.99,202.07,202.16,202.11,210.97,227.87,244.5,249.52,269.68,304.02,302.31,278.58,261.19,275.05,258.2,224.94,225.5,243.5,216.27,201.48,213.52,204.52,223.8,218.51,208.85,390.79,294.57,207.22,194.05,303.6,311.89,267.03,225.89
蔬菜产量(万吨),79997.22,77548.78,74912.9,72102.6,70346.72,69192.68,67434.16,66425.1,64948.65,63197.98,61624.46,59766.63,57264.86,59139.48,58669.21,57537.82,53953.05,56451.49,55064.66,54032.32,52860.56,48422.36,44467.94,40513.52,38491.93,35962.39,30123.09,25726.71,,,,,
